story_id,story_title,published,lesson_number,tier,frame_index,word_index,word,question_type,prompt,correct_answer,translation,pinyin,part_of_speech,options_from_source,context_sentence,source,validation_status,validation_errors,lesson_sub_order
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,translation,友美,friend's name,friend's name,yǒu měi,N,"[""friendship"", ""beauty"", ""nickname"", ""beautiful friend"", ""nice person""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,reverse,friend's name,友美,friend's name,yǒu měi,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,listening,友美,友美,friend's name,yǒu měi,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,pinyin,友美,yǒu měi,friend's name,yǒu měi,N,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,pos,友美,N,friend's name,yǒu měi,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,1,週末,translation,週末,weekend,weekend,zhōu mò,N,"[""holiday"", ""vacation"", ""festival"", ""leisure time""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,1,週末,reverse,weekend,週末,weekend,zhōu mò,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,1,週末,listening,週末,週末,weekend,zhōu mò,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,1,週末,pinyin,週末,zhōu mò,weekend,zhōu mò,N,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,1,週末,pos,週末,N,weekend,zhōu mò,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,2,做,translation,做,to do,to do,zuò,V,"[""create"", ""build"", ""prepare"", ""to make"", ""to create"", ""to prepare""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,2,做,reverse,to do,做,to do,zuò,V,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,2,做,listening,做,做,to do,zuò,V,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,2,做,pinyin,做,zuò,to do,zuò,V,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,2,做,pos,做,V,to do,zuò,V,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,3,這個週末,translation,這個週末,this weekend,this weekend,zhè ge zhōumò,Phrase,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,3,這個週末,reverse,this weekend,這個週末,this weekend,zhè ge zhōumò,Phrase,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,3,這個週末,listening,這個週末,這個週末,this weekend,zhè ge zhōumò,Phrase,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,3,這個週末,pinyin,這個週末,zhè ge zhōumò,this weekend,zhè ge zhōumò,Phrase,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,3,這個週末,pos,這個週末,Phrase,this weekend,zhè ge zhōumò,Phrase,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,4,什麼,translation,什麼,what,what,shénme,Other,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,4,什麼,reverse,what,什麼,what,shénme,Other,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,4,什麼,listening,什麼,什麼,what,shénme,Other,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,4,什麼,pinyin,什麼,shénme,what,shénme,Other,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,4,什麼,pos,什麼,Other,what,shénme,Other,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,translation,友美,friend's name,friend's name,yǒu měi,N,"[""friendship"", ""beauty"", ""nickname"", ""beautiful friend"", ""nice person""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,reverse,friend's name,友美,friend's name,yǒu měi,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,listening,友美,友美,friend's name,yǒu měi,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,pinyin,友美,yǒu měi,friend's name,yǒu měi,N,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,pos,友美,N,friend's name,yǒu měi,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,1,週末,translation,週末,weekend,weekend,zhōu mò,N,"[""holiday"", ""vacation"", ""festival"", ""leisure time""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,1,週末,reverse,weekend,週末,weekend,zhōu mò,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,1,週末,listening,週末,週末,weekend,zhōu mò,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,1,週末,pinyin,週末,zhōu mò,weekend,zhōu mò,N,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,1,週末,pos,週末,N,weekend,zhōu mò,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,2,做,translation,做,to do,to do,zuò,V,"[""create"", ""build"", ""prepare"", ""to make"", ""to create"", ""to prepare""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,2,做,reverse,to do,做,to do,zuò,V,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,2,做,listening,做,做,to do,zuò,V,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,2,做,pinyin,做,zuò,to do,zuò,V,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,2,做,pos,做,V,to do,zuò,V,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,3,這個週末,translation,這個週末,this weekend,this weekend,zhè ge zhōumò,Phrase,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,3,這個週末,reverse,this weekend,這個週末,this weekend,zhè ge zhōumò,Phrase,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,3,這個週末,listening,這個週末,這個週末,this weekend,zhè ge zhōumò,Phrase,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,3,這個週末,pinyin,這個週末,zhè ge zhōumò,this weekend,zhè ge zhōumò,Phrase,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,3,這個週末,pos,這個週末,Phrase,this weekend,zhè ge zhōumò,Phrase,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,4,什麼,translation,什麼,what,what,shénme,Other,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,4,什麼,reverse,what,什麼,what,shénme,Other,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,4,什麼,listening,什麼,什麼,what,shénme,Other,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,4,什麼,pinyin,什麼,shénme,what,shénme,Other,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,4,什麼,pos,什麼,Other,what,shénme,Other,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,translation,友美,friend's name,friend's name,yǒu měi,N,"[""friendship"", ""beauty"", ""nickname"", ""beautiful friend"", ""nice person""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,reverse,friend's name,友美,friend's name,yǒu měi,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,listening,友美,友美,friend's name,yǒu měi,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,pinyin,友美,yǒu měi,friend's name,yǒu měi,N,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,pos,友美,N,friend's name,yǒu měi,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,1,週末,translation,週末,weekend,weekend,zhōu mò,N,"[""holiday"", ""vacation"", ""festival"", ""leisure time""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,1,週末,reverse,weekend,週末,weekend,zhōu mò,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,1,週末,listening,週末,週末,weekend,zhōu mò,N,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,1,週末,pinyin,週末,zhōu mò,weekend,zhōu mò,N,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,1,週末,pos,週末,N,weekend,zhōu mò,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,2,做,translation,做,to do,to do,zuò,V,"[""create"", ""build"", ""prepare"", ""to make"", ""to create"", ""to prepare""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,2,做,reverse,to do,做,to do,zuò,V,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,2,做,listening,做,做,to do,zuò,V,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,2,做,pinyin,做,zuò,to do,zuò,V,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,2,做,pos,做,V,to do,zuò,V,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,3,這個週末,translation,這個週末,this weekend,this weekend,zhè ge zhōumò,Phrase,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,3,這個週末,reverse,this weekend,這個週末,this weekend,zhè ge zhōumò,Phrase,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,3,這個週末,listening,這個週末,這個週末,this weekend,zhè ge zhōumò,Phrase,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,3,這個週末,pinyin,這個週末,zhè ge zhōumò,this weekend,zhè ge zhōumò,Phrase,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,3,這個週末,pos,這個週末,Phrase,this weekend,zhè ge zhōumò,Phrase,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,4,什麼,translation,什麼,what,what,shénme,Other,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,4,什麼,reverse,what,什麼,what,shénme,Other,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,4,什麼,listening,什麼,什麼,what,shénme,Other,"[""友美"", ""週末"", ""做"", ""這個週末"", ""什麼""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,4,什麼,pinyin,什麼,shénme,what,shénme,Other,"[""yǒu měi"", ""zhōu mò"", ""zuò"", ""zhè ge zhōumò"", ""shénme""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,4,什麼,pos,什麼,Other,what,shénme,Other,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,0,我,translation,我,I,I,wǒ,Pron,"[""we"", ""us"", ""ours""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,0,我,reverse,I,我,I,wǒ,Pron,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,0,我,listening,我,我,I,wǒ,Pron,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,0,我,pinyin,我,wǒ,I,wǒ,Pron,"[""wǒ"", ""yào"", ""zài"", ""jiā"", ""kànshū"", ""tīng yīnyuè""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,0,我,pos,我,Pron,I,wǒ,Pron,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,1,要,translation,要,to want,to want,yào,V,"[""need"", ""must"", ""should"", ""to need"", ""to require"", ""to wish""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,1,要,reverse,to want,要,to want,yào,V,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,1,要,listening,要,要,to want,yào,V,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,1,要,pinyin,要,yào,to want,yào,V,"[""wǒ"", ""yào"", ""zài"", ""jiā"", ""kànshū"", ""tīng yīnyuè""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,1,要,pos,要,V,to want,yào,V,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,2,在,translation,在,at,at,zài,Prep,"[""with"", ""from"", ""during"", ""on""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,2,在,reverse,at,在,at,zài,Prep,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,2,在,listening,在,在,at,zài,Prep,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,2,在,pinyin,在,zài,at,zài,Prep,"[""wǒ"", ""yào"", ""zài"", ""jiā"", ""kànshū"", ""tīng yīnyuè""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,2,在,pos,在,Prep,at,zài,Prep,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,3,家,translation,家,home,home,jiā,N,"[""office"", ""school"", ""store"", ""household"", ""family"", ""village""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,3,家,reverse,home,家,home,jiā,N,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,3,家,listening,家,家,home,jiā,N,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,3,家,pinyin,家,jiā,home,jiā,N,"[""wǒ"", ""yào"", ""zài"", ""jiā"", ""kànshū"", ""tīng yīnyuè""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,3,家,pos,家,N,home,jiā,N,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,4,看書,translation,看書,to read,to read,kànshū,V,"[""watch movie"", ""play game"", ""browse internet"", ""to watch"", ""to observe"", ""to glance""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,4,看書,reverse,to read,看書,to read,kànshū,V,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,4,看書,listening,看書,看書,to read,kànshū,V,"[""我"", ""要"", ""在"", ""家"", ""看書"", ""聽音樂""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,4,看書,pinyin,看書,kànshū,to read,kànshū,V,"[""wǒ"", ""yào"", ""zài"", ""jiā"", ""kànshū"", ""tīng yīnyuè""]",,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,4,看書,pos,看書,V,to read,kànshū,V,[],,live,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,1,5,聽音樂,translation,聽音樂,to listen to music,to listen to music,tīng yīnyuè,V,"[""watch concert"", ""play instrument"", ""dance"", ""to play music"", ""to compose"", ""to sing""]",,live,ok,,1
