story_id,story_title,published,lesson_number,frame_count,quiz_question_rows,has_quiz_questions
custom-story-1785137028726,我們去喝下午茶,True,5,9,534,True
custom-story-1785235297869,我的錢包在哪裡？,True,5,7,405,True
custom-story-1785310310407,我的房間,True,5,4,387,True
custom-story-1785204635939,週末去打網球吧！,True,6,7,702,True
modern-chinese-l6-dialogue-1,第6課 對話一：週末去打網球吧！,True,6,7,123,True
modern-chinese-l6-dialogue-2,第6課 對話二：週末去打網球吧！,True,6,6,132,True
modern-chinese-l6-reading,第6課 短文：我的興趣,True,6,11,174,True
custom-story-1785205277637,怎麼到飯店去？,False,7,8,0,False
modern-chinese-l7-dialogue-1,第7課 對話一：怎麼去天美飯店？,True,7,8,126,True
modern-chinese-l7-dialogue-2,第7課 對話二：坐捷運去吧！,True,7,7,171,True
modern-chinese-l7-reading,第7課 短文：從我家坐捷運很方便,True,7,10,276,True
modern-chinese-l8-dialogue-1,第8課 對話一：我想買新衣服,True,8,9,138,True
modern-chinese-l8-dialogue-2,第8課 對話二：這條褲子太小了,True,8,9,132,True
modern-chinese-l8-reading,第8課 短文：年輕人喜歡新東西,True,8,13,240,True
custom-story-1785065694751,Taiwan Community Story,True,,7,573,True
