case,status_code,decision,technical_retry,message_is_frozen
browser synthetic_contour T1,200,RETRY,False,True
browser synthetic_contour T2,200,RETRY,False,True
browser synthetic_contour T3,200,RETRY,False,True
browser synthetic_contour T4,200,PASS,False,True
browser trajectory_failure T2,200,RETRY,False,True
browser very_short T2,200,RETRY,True,True
browser technical_failure T2,200,RETRY,False,True
study-path reference T1,200,RETRY,False,True
study-path reference T2,200,PASS,False,True
study-path reference T3,200,RETRY,False,True
study-path reference T4,200,RETRY,False,True
invalid audio,200,RETRY,True,True
empty payload,200,RETRY,True,True
invalid tone 'T9',200,RETRY,True,True
invalid tone 'banana',200,RETRY,True,True
invalid tone '2.0',200,RETRY,True,True
invalid tone '',200,RETRY,True,True
invalid tone '0',200,RETRY,True,True
off-contract 48 kHz upload,200,RETRY,True,True
