review_id,token_id,human_boundary_judgment,human_note
R001,00204229_08,GOOD,""
R002,00202826_02,GOOD,""
R003,00200314_03,GOOD,""
R004,00200217_01,GOOD,""
R005,00201520_08,WRONG,""
R006,00201514_04,GOOD,""
R007,00200914_01,QUESTIONABLE,""
R008,00202901_03,QUESTIONABLE,""
R009,00203326_07,WRONG,""
R010,00201620_06,GOOD,""
R011,00202114_08,GOOD,""
R012,00202426_05,GOOD,""
R013,00202901_10,QUESTIONABLE,""
R014,00200620_06,GOOD,""
R015,00200814_00,GOOD,""
R016,00203113_03,GOOD,""
R017,00200520_15,GOOD,""
R018,00201020_01,QUESTIONABLE,""
R019,00203220_06,QUESTIONABLE,""
R020,00201920_06,GOOD,""
R021,00203429_02,GOOD,""
R022,00203829_08,GOOD,""
R023,00204526_04,WRONG,""
R024,00201314_01,QUESTIONABLE,""
R025,00203711_07,GOOD,""
R026,00204011_01,QUESTIONABLE,""
R027,00202328_05,QUESTIONABLE,""
R028,00201220_13,GOOD,""
R029,00203511_10,GOOD,""
R030,00202320_08,GOOD,""
R031,00203126_00,QUESTIONABLE,""
R032,00201220_15,QUESTIONABLE,""
R033,00204229_02,WRONG,""
R034,00203711_08,WRONG,""
R035,00200720_03,QUESTIONABLE,""
R036,00202120_08,QUESTIONABLE,""
R037,00203011_06,QUESTIONABLE,""
R038,00203929_05,QUESTIONABLE,""
R039,00201914_08,GOOD,""
R040,00202711_08,GOOD,""
R041,00202518_10,GOOD,""
R042,00201820_05,QUESTIONABLE,""
R043,00204126_02,QUESTIONABLE,""
R044,00203229_07,QUESTIONABLE,""
R045,00203829_03,GOOD,""
R046,00204426_09,QUESTIONABLE,""
R047,00202526_08,GOOD,""
R048,00202220_01,QUESTIONABLE,""
R049,00200120_00,GOOD,""
R050,00204526_03,GOOD,""
R051,00202629_08,GOOD,""
R052,00203026_03,GOOD,""
R053,00201420_00,QUESTIONABLE,""
R054,00204426_00,GOOD,""
R055,00203626_08,GOOD,""
R056,00204126_03,GOOD,""
R057,00202014_03,GOOD,""
R058,00201514_06,GOOD,""
R059,00203929_03,GOOD,""
R060,00203529_07,GOOD,""
R061,00202829_07,GOOD,""
R062,00202901_01,QUESTIONABLE,""
R063,00204311_06,GOOD,""
R064,00204311_11,GOOD,""
R065,00201814_00,GOOD,""
R066,00203611_08,GOOD,""
R067,00200620_01,GOOD,""
R068,00200217_03,GOOD,""
R069,00201117_03,GOOD,""
R070,00201314_08,GOOD,""
R071,00204611_11,GOOD,""
