test_id,category,input,expected_behaviour,observed_behaviour,result,severity,notes
TV001,artifact integrity,fresh_validation_system_FROZEN.json self-hash,sha256 == 8101bcaf8c92e1e3,recomputed 8101bcaf8c92e1e3,PASS,,
TV002,artifact integrity,system hash matches the expected published prefix,8101bcaf8c92e1e3,8101bcaf8c92e1e3,PASS,,
TV003,artifact integrity,ompal_phase_c8_policy_FROZEN.json self-hash,sha256 == cc4aa4ef797f752b,recomputed cc4aa4ef797f752b,PASS,,
TV004,artifact integrity,C8 policy hash matches the value recorded in the system file,cc4aa4ef797f752b,cc4aa4ef797f752b,PASS,,
TV005,artifact integrity,ompal_phase_c6_protocol_FROZEN.json self-hash,sha256 == 1afe6c5b1da4dece,recomputed 1afe6c5b1da4dece,PASS,,
TV006,artifact integrity,C6 representation hash matches the system file,1afe6c5b1da4dece,1afe6c5b1da4dece,PASS,,
TV007,artifact integrity,C8 model hash reproduces from the frozen config triple,cd911b6e67b28c41,cd911b6e67b28c41,PASS,,"hash covers {C, class_weight, points} only -- see TV finding on artefact binding"
TV008,artifact integrity,trajectory configuration matches the frozen representation,points=20 floor=60.0 ceiling=500.0 step=0.005,points=20 floor=60.0 ceiling=500.0 step=0.005,PASS,,
TV009,artifact integrity,classifier constants match the frozen classifier block,C=0.1 class_weight=balanced,C=0.1 class_weight=balanced,PASS,,
TV010,artifact integrity,t_pass agrees between the system file and the C8 policy,0.42274,0.42274,PASS,,
TV011,artifact integrity,enabled PASS tones agree between the two frozen artefacts,234,234,PASS,,
TV012,artifact integrity,training inputs are hashable and stable within the run,six content hashes computed,403aec041f64c330,PASS,,these hashes are recorded in golden_reference.json to bind future runs
TV013,artifact integrity,train split shape matches the frozen C8 record,1424 rows / 32 speakers,1424 rows / 32 speakers,PASS,,
TV014,artifact integrity,technical reference set contains no Test token,0 overlap,0 overlapping tokens,PASS,,reference set is drawn from native_reference only
TV015,determinism,fit-once serving reproduces fit_predict bit-for-bit,max |delta| == 0,max |delta| = 0.000e+00,PASS,,authorises the fit-once wrapper used for the rest of this suite
TV016,determinism,seed does not influence the frozen solver (lbfgs),max |delta| == 0 between seed 0 and seed 20260808,max |delta| = 0.000e+00,PASS,,confirms the D0 preflight seed 20260808 scores identically to the C8 seed 0
TV017,policy,T1 never returns PASS across a 1006-point score sweep,{RETRY},['RETRY'],PASS,,
TV018,policy,trajectory unavailable returns RETRY for every expected tone,RETRY/trajectory_unavailable x4,"{'1': 'RETRY', '2': 'RETRY', '3': 'RETRY', '4': 'RETRY'}",PASS,,
TV019,policy,NaN score with trajectory marked available still never PASSes,{RETRY},['RETRY'],PASS,,"NaN <= t_pass is False in IEEE 754, so the rule fails safe"
TV020,policy,T2/T3/T4 with score satisfying the frozen PASS rule return PASS,PASS for all 600 admissible scores,600/600 PASS,PASS,,
TV021,policy,T2/T3/T4 with score outside the frozen PASS rule return RETRY,RETRY for all 600 inadmissible scores,600/600 RETRY,PASS,,
TV022,policy,only PASS and RETRY are ever emitted,"{PASS, RETRY}","['PASS', 'RETRY']",PASS,,
TV023,policy,scalar decide() and vectorised pass_mask() agree on 4000 cases,0 disagreements,0 disagreements,PASS,,the derivation code and the serving code implement one rule
TV024,threshold,comparison operator at the threshold identified,"documented, not assumed",score <= t_pass -> PASS,PASS,,"source of truth: pass_mask() uses scores <= t_pass; a score is P(incorrect), so LOW scores PASS"
TV025,threshold,one ULP below t_pass -> PASS,PASS,PASS,PASS,,score=np.float64(0.42273999999999995)
TV026,threshold,exactly t_pass -> PASS,PASS,PASS,PASS,,score=0.42274
TV027,threshold,one ULP above t_pass -> RETRY,RETRY,RETRY,PASS,,score=np.float64(0.42274000000000006)
TV028,threshold,0.422730 (literal below) -> PASS,PASS,PASS,PASS,,score=0.42273
TV029,threshold,0.422740 (literal at) -> PASS,PASS,PASS,PASS,,score=0.42274
TV030,threshold,0.422750 (literal above) -> RETRY,RETRY,RETRY,PASS,,score=0.42275
TV031,threshold,0.4227 (the abbreviated value) -> PASS,PASS,PASS,PASS,,score=0.4227
TV032,threshold,one ULP separates the last PASS from the first RETRY,no ambiguous interval,ULP = 1.110e-16,PASS,,
TV033,threshold,t_pass parses to an identical IEEE double in both artefacts,bitwise identical,0.42274 vs 0.42274,PASS,,
TV034,threshold,the abbreviated 0.4227 is NOT the frozen threshold,frozen value is 0.42274,0.4227 != 0.42274,PASS,,documentation that quotes 0.4227 is rounded; the implementation uses 0.42274
TV035,determinism,F0 trajectory identical across 20 runs,max |delta| == 0,max |delta| = 0.000e+00,PASS,,
TV036,determinism,R2 raw score identical across 20 runs,max |delta| == 0,max |delta| = 0.000e+00,PASS,,
TV037,determinism,PASS/RETRY verdict identical across 20 runs,0 changes,0 changes,PASS,,
TV038,determinism,failure code identical across 20 runs,0 changes,0 changes,PASS,,
TV039,determinism,restarted process reports the same frozen system hash,8101bcaf8c92e1e3,8101bcaf8c92e1e3,PASS,,
TV040,determinism,restarted process fits identical model coefficients,bce84b07cc594bb5,bce84b07cc594bb5,PASS,,
TV041,determinism,scores survive a process restart within tolerance,max |delta| == 0,max |delta| = 0.000e+00,PASS,,
TV042,determinism,a server restart cannot change a learner decision,0 decision changes,0 changes,PASS,,
TV043,trajectory,every reference trajectory has exactly 20 points,20 points,{20},PASS,,
TV044,trajectory,every trajectory value is finite,all finite,11/11 clean,PASS,,
TV045,trajectory,median-centred contour is centred on zero,|median| < 1e-12,worst |median| = 7.105e-15,PASS,,
TV046,trajectory,independent re-derivation reproduces the module trajectory,max |delta| == 0,max |delta| = 0.000e+00,PASS,,"semitone conversion 12*log2(Hz), time-normalised over the voiced span"
TV047,trajectory,sample grid is monotonically increasing over the voiced span,strictly increasing,span = 110.0 ms,PASS,,
TV048,trajectory,no raw-Hz value leaked into the semitone contour,max |centred semitone| < 24,max = 3.04 ST,PASS,,a leaked Hz value would appear as a 60-500 magnitude in a +/-24 ST field
TV049,dimensionality,fitted design matrix has the frozen column count,83 columns,83 columns,PASS,,20 trajectory + 3 reference-coded tone dummies + 60 interactions
TV050,dimensionality,fitted coefficient vector matches the design width,83,83,PASS,,
TV051,dimensionality,the named column list is the same width,83 names,83 names,PASS,,
TV052,dimensionality,every design column matches its name and formula,0 mismatched columns,0 mismatched,PASS,,"checked per tone for all 83 columns, by position and by name"
TV053,tone routing,T1 activates no dummy (it is the reference level),"[0, 0, 0]","[0.0, 0.0, 0.0]",PASS,,
TV054,tone routing,T2 activates exactly the T2 dummy column,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]",PASS,,detects a shifted tone index
TV055,tone routing,T3 activates exactly the T3 dummy column,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]",PASS,,detects a shifted tone index
TV056,tone routing,T4 activates exactly the T4 dummy column,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",PASS,,detects a shifted tone index
TV057,tone routing,exactly the matching trajectory-x-tone block is populated,one active interaction block per non-reference tone,"{'1': [], '2': ['2'], '3': ['3'], '4': ['4']}",PASS,,
TV058,tone routing,expected tone actually changes the score for fixed audio,4 distinct scores,"T1=0.4185, T2=0.4276, T3=0.7066, T4=0.6845",PASS,,software routing test only -- NOT a pronunciation result
TV059,input validation,integer expected-tone is rejected rather than routed to the T1 branch,rejected or raised,"accepted; dummies = [0.0, 0.0, 0.0]",FAIL,MEDIUM,"design() compares tone labels as strings, so an int label activates no dummy and is scored as if it were T1. The policy layer still refuses PASS because int 2 is not in the enabled string set (TV060), so it fails safe today -- but nothing enforces that coupling"
TV060,fail-safe,integer expected-tone cannot produce PASS through the policy,RETRY,RETRY,PASS,,
TV061,audio robustness,no malformed or unprocessable input ever yields PASS,0 unsafe PASS,0 unsafe PASS ([]),PASS,,
