utterance_id,speaker_id,token_index,word,expected_pinyin,expected_tone,majority_tone_correct,agreement_count,start_seconds,end_seconds,duration_seconds,alignment_score,voiced_proportion,alignment_status,alignment_note,segment_path
00200120,02001,0,裡,lǐ,3,1,3,0.7405,0.8406,0.1001,0.9862,1.000,good,,alignment_pilot_segments/00200120_00.wav
00200120,02001,1,邊,biān,1,1,3,0.9206,1.2408,0.3202,0.9759,0.927,good,,alignment_pilot_segments/00200120_01.wav
00200120,02001,3,一,yī,1,1,3,2.7818,2.8219,0.0400,0.3377,0.000,failed,no_voiced_nucleus,alignment_pilot_segments/00200120_03.wav
00200120,02001,5,小,xiǎo,3,1,3,3.5023,3.7224,0.2201,0.9544,0.686,good,,alignment_pilot_segments/00200120_05.wav
00200120,02001,6,桌,zhuō,1,1,3,3.8025,3.9226,0.1201,0.8069,0.800,good,,alignment_pilot_segments/00200120_06.wav
00200120,02001,8,兩,liǎng,3,0,0,5.0433,5.2635,0.2201,0.1288,1.000,questionable,low_alignment_score,alignment_pilot_segments/00200120_08.wav
00200120,02001,13,一,yī,1,1,3,7.5650,7.6050,0.0400,0.4884,0.000,failed,no_voiced_nucleus,alignment_pilot_segments/00200120_13.wav
00200120,02001,15,床,chuáng,2,1,3,7.9652,8.3455,0.3802,0.9513,0.716,good,,alignment_pilot_segments/00200120_15.wav
00200220,02002,0,裡,lǐ,3,1,3,0.4605,0.5806,0.1201,0.9917,1.000,good,,alignment_pilot_segments/00200220_00.wav
00200220,02002,1,邊,biān,1,1,3,0.7007,1.0210,0.3203,0.9947,0.927,good,,alignment_pilot_segments/00200220_01.wav
00200220,02002,3,一,yī,1,0,1,1.5816,1.6817,0.1001,0.8072,1.000,good,,alignment_pilot_segments/00200220_03.wav
00200220,02002,5,小,xiǎo,3,1,3,2.6026,2.9229,0.3203,0.8464,0.418,good,,alignment_pilot_segments/00200220_05.wav
00200220,02002,6,桌,zhuō,1,1,2,3.0430,3.2032,0.1602,0.6798,0.478,good,,alignment_pilot_segments/00200220_06.wav
00200220,02002,8,兩,liǎng,3,1,3,4.0440,4.2843,0.2402,0.6872,1.000,good,,alignment_pilot_segments/00200220_08.wav
00200220,02002,13,一,yī,1,0,1,7.2272,7.3073,0.0801,0.8768,1.000,good,,alignment_pilot_segments/00200220_13.wav
00200220,02002,15,床,chuáng,2,1,3,8.0080,8.4884,0.4805,0.8746,0.713,good,,alignment_pilot_segments/00200220_15.wav
00200317,02003,1,四,sì,4,1,3,1.2892,1.4302,0.1410,0.8976,0.474,good,,alignment_pilot_segments/00200317_01.wav
00200317,02003,3,房,fáng,2,0,1,1.9741,2.2158,0.2417,0.8282,0.846,good,,alignment_pilot_segments/00200317_03.wav
00200414,02004,0,小,xiǎo,3,1,3,0.4222,0.6634,0.2412,0.9948,0.718,good,,alignment_pilot_segments/00200414_00.wav
00200414,02004,1,貓,māo,1,1,3,0.7840,1.0253,0.2412,0.9188,1.000,good,,alignment_pilot_segments/00200414_01.wav
00200414,02004,3,名,míng,2,0,1,1.3067,1.5278,0.2211,0.9088,1.000,good,,alignment_pilot_segments/00200414_03.wav
00200414,02004,4,字,zì,4,1,3,1.6082,1.7490,0.1407,0.9876,0.526,good,,alignment_pilot_segments/00200414_04.wav
00200414,02004,6,是,shì,4,1,3,2.6737,2.8144,0.1407,0.9474,0.474,good,,alignment_pilot_segments/00200414_06.wav
00200414,02004,7,花,huā,1,1,3,3.0356,3.1562,0.1206,0.9963,0.867,good,,alignment_pilot_segments/00200414_07.wav
00200414,02004,8,花,huā,1,1,3,3.3371,3.4979,0.1608,0.9946,1.000,good,,alignment_pilot_segments/00200414_08.wav
00200514,02005,0,小,xiǎo,3,0,0,0.4618,0.7028,0.2410,0.7938,0.718,good,,alignment_pilot_segments/00200514_00.wav
00200514,02005,1,貓,māo,1,0,0,0.8434,1.1647,0.3213,0.8282,0.618,good,,alignment_pilot_segments/00200514_01.wav
00200514,02005,3,名,míng,2,0,1,2.7309,2.9317,0.2008,0.8246,1.000,good,,alignment_pilot_segments/00200514_03.wav
00200514,02005,4,字,zì,4,1,3,3.0321,3.1325,0.1004,0.9801,0.818,good,,alignment_pilot_segments/00200514_04.wav
00200514,02005,6,是,shì,4,1,3,3.8956,4.0161,0.1205,0.9804,0.600,good,,alignment_pilot_segments/00200514_06.wav
00200514,02005,7,花,huā,1,1,3,4.1968,4.3373,0.1406,0.9939,0.684,good,,alignment_pilot_segments/00200514_07.wav
00200514,02005,8,花,huā,1,1,3,4.4980,4.6386,0.1406,0.9211,0.632,good,,alignment_pilot_segments/00200514_08.wav
00200614,02006,0,小,xiǎo,3,0,0,0.6033,0.8647,0.2614,0.9935,0.698,good,,alignment_pilot_segments/00200614_00.wav
00200614,02006,1,貓,māo,1,0,0,0.9652,1.1864,0.2212,0.9955,0.543,good,,alignment_pilot_segments/00200614_01.wav
00200614,02006,3,名,míng,2,1,3,1.4277,1.6489,0.2212,0.9328,0.971,good,,alignment_pilot_segments/00200614_03.wav
