review_id,token_id,segment_path,utterance_path,speaker_id,utterance_id,token_index,word,expected_pinyin,expected_tone,start_seconds,end_seconds,duration_seconds,alignment_score,alignment_status,flag_reason,majority_tone_correct
R001,00204229_08,alignment_pilot_segments/00204229_08.wav,../../../private-data/ompal/wav/SPEAKER02042/00204229.wav,02042,00204229,8,短,duǎn,3,3.5479,3.7884,0.2405,0.9792,good,,0
R002,00202826_02,alignment_pilot_segments/00202826_02.wav,../../../private-data/ompal/wav/SPEAKER02028/00202826.wav,02028,00202826,2,年,nián,2,2.0252,2.2057,0.1805,0.9100,good,,1
R003,00200314_03,alignment_pilot_segments/00200314_03.wav,../../../private-data/ompal/wav/SPEAKER02003/00200314.wav,02003,00200314,3,名,míng,2,2.0467,2.2674,0.2207,0.8866,good,,1
R004,00200217_01,alignment_pilot_segments/00200217_01.wav,../../../private-data/ompal/wav/SPEAKER02002/00200217.wav,02002,00200217,1,四,sì,4,1.0665,1.2073,0.1409,0.8703,good,,0
R005,00201520_08,alignment_pilot_segments/00201520_08.wav,../../../private-data/ompal/wav/SPEAKER02015/00201520.wav,02015,00201520,8,兩,liǎng,3,6.5637,6.8238,0.2601,0.9429,good,,0
R006,00201514_04,alignment_pilot_segments/00201514_04.wav,../../../private-data/ompal/wav/SPEAKER02015/00201514.wav,02015,00201514,4,字,zì,4,2.5286,2.6490,0.1204,0.9910,good,,1
R007,00200914_01,alignment_pilot_segments/00200914_01.wav,../../../private-data/ompal/wav/SPEAKER02009/00200914.wav,02009,00200914,1,貓,māo,1,0.6837,0.8647,0.1810,0.9803,good,,1
R008,00202901_03,alignment_pilot_segments/00202901_03.wav,../../../private-data/ompal/wav/SPEAKER02029/00202901.wav,02029,00202901,3,曆,lì,4,2.5693,2.6898,0.1204,0.9817,good,,1
R009,00203326_07,alignment_pilot_segments/00203326_07.wav,../../../private-data/ompal/wav/SPEAKER02033/00203326.wav,02033,00203326,7,餐,cān,1,4.0132,4.2941,0.2809,0.9861,good,,1
R010,00201620_06,alignment_pilot_segments/00201620_06.wav,../../../private-data/ompal/wav/SPEAKER02016/00201620.wav,02016,00201620,6,桌,zhuō,1,2.5251,2.6653,0.1403,0.8134,good,,0
R011,00202114_08,alignment_pilot_segments/00202114_08.wav,../../../private-data/ompal/wav/SPEAKER02021/00202114.wav,02021,00202114,8,花,huā,1,3.9170,4.0175,0.1004,0.9649,good,,0
R012,00202426_05,alignment_pilot_segments/00202426_05.wav,../../../private-data/ompal/wav/SPEAKER02024/00202426.wav,02024,00202426,5,搬,bān,1,4.0093,4.2900,0.2807,0.9560,good,,1
R013,00202901_10,alignment_pilot_segments/00202901_10.wav,../../../private-data/ompal/wav/SPEAKER02029/00202901.wav,02029,00202901,10,節,jié,2,5.0182,5.1788,0.1606,0.9740,good,,1
R014,00200620_06,alignment_pilot_segments/00200620_06.wav,../../../private-data/ompal/wav/SPEAKER02006/00200620.wav,02006,00200620,6,桌,zhuō,1,2.6442,2.8045,0.1603,0.9144,good,,0
R015,00200814_00,alignment_pilot_segments/00200814_00.wav,../../../private-data/ompal/wav/SPEAKER02008/00200814.wav,02008,00200814,0,小,xiǎo,3,0.4621,0.7232,0.2612,0.9972,good,,0
