utterance_id,speaker_id,word,expected_pinyin,expected_tone,majority_tone_correct,start_seconds,end_seconds,duration_seconds,alignment_score,alignment_status,verdict,reason,nuclei,overlap_seconds,segment_path
00200220,02002,一,yī,1,0,7.2272,7.3073,0.0801,0.8768,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200220_13.wav
00200114,02001,花,huā,1,1,3.5558,3.6964,0.1406,0.9814,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200114_07.wav
00200317,02003,房,fáng,2,0,1.9741,2.2158,0.2417,0.8282,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200317_03.wav
00200120,02001,床,chuáng,2,1,7.9652,8.3455,0.3802,0.9513,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200120_15.wav
00200120,02001,兩,liǎng,3,0,5.0433,5.2635,0.2201,0.1288,questionable,questionable,2 nuclei - may span two syllables,2,0.0,alignment_pilot_segments/00200120_08.wav
00200120,02001,小,xiǎo,3,1,3.5023,3.7224,0.2201,0.9544,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200120_05.wav
00200217,02002,四,sì,4,0,1.0665,1.2073,0.1409,0.8703,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200217_01.wav
00200114,02001,是,shì,4,1,2.4911,2.6518,0.1607,0.9843,good,wrong,no voiced nucleus in span,0,0.0,alignment_pilot_segments/00200114_06.wav
00200220,02002,一,yī,1,0,1.5816,1.6817,0.1001,0.8072,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200220_03.wav
00200114,02001,花,huā,1,1,3.8772,4.0179,0.1406,0.9452,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200114_08.wav
00200417,02004,房,fáng,2,0,1.5529,1.7950,0.2420,0.7638,good,correct,"single nucleus, both boundaries in energy troughs",1,0.0,alignment_pilot_segments/00200417_03.wav
00200114,02001,名,míng,2,1,1.0848,1.2656,0.1808,0.8228,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200114_03.wav
00200514,02005,小,xiǎo,3,0,0.4618,0.7028,0.2410,0.7938,good,correct,"single nucleus, both boundaries in energy troughs",1,0.0,alignment_pilot_segments/00200514_00.wav
00200120,02001,裡,lǐ,3,1,0.7405,0.8406,0.1001,0.9862,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200120_00.wav
00201117,02011,四,sì,4,0,0.9660,1.1270,0.1610,0.5212,good,wrong,no voiced nucleus in span,0,0.0,alignment_pilot_segments/00201117_01.wav
00200114,02001,字,zì,4,1,1.3259,1.4464,0.1205,0.9903,questionable,wrong,no voiced nucleus in span,0,0.0,alignment_pilot_segments/00200114_04.wav
00200514,02005,貓,māo,1,0,0.8434,1.1647,0.3213,0.8282,good,correct,"single nucleus, both boundaries in energy troughs",1,0.0,alignment_pilot_segments/00200514_01.wav
00200120,02001,邊,biān,1,1,0.9206,1.2408,0.3202,0.9759,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200120_01.wav
00200414,02004,名,míng,2,0,1.3067,1.5278,0.2211,0.9088,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200414_03.wav
00200217,02002,房,fáng,2,1,2.3744,2.6159,0.2415,0.9428,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00200217_03.wav
00200520,02005,小,xiǎo,3,0,1.8841,2.0845,0.2004,0.9908,good,correct,"single nucleus, both boundaries in energy troughs",1,0.0,alignment_pilot_segments/00200520_05.wav
00200114,02001,小,xiǎo,3,1,0.5223,0.7433,0.2210,0.9984,good,questionable,2 nuclei - may span two syllables,2,0.0,alignment_pilot_segments/00200114_00.wav
00202328,02023,變,biàn,4,0,4.3344,4.5552,0.2207,0.9833,good,correct,one boundary mid-energy (normal in connected speech),1,0.0,alignment_pilot_segments/00202328_05.wav
00200314,02003,是,shì,4,1,4.3743,4.5148,0.1405,0.9573,good,wrong,no voiced nucleus in span,0,0.0,alignment_pilot_segments/00200314_06.wav
