audio,dataset_index,utt_id,corpus,speaker_id,speaker_variety,speech_type,word,word_script,pinyin,pinyin_variety,pinyin_source,syllable_base,tone
SSB00050032_w001_jiang1.wav,18,SSB00050032,aishell3-derived,SSB0005,mainland,native,将,simplified,jiang1,mainland,corpus,jiang,1
SSB00050050_w002_wei2.wav,38,SSB00050050,aishell3-derived,SSB0005,mainland,native,为,simplified,wei2,mainland,corpus,wei,2
SSB00050076_w000_dai4.wav,43,SSB00050076,aishell3-derived,SSB0005,mainland,native,待,simplified,dai4,mainland,corpus,dai,4
SSB00050085_w000_ye2.wav,56,SSB00050085,aishell3-derived,SSB0005,mainland,native,也,simplified,ye2,mainland,corpus,ye,2
SSB00050089_w000_ta1.wav,61,SSB00050089,aishell3-derived,SSB0005,mainland,native,他,simplified,ta1,mainland,corpus,ta,1
SSB00050096_w002_hui4.wav,73,SSB00050096,aishell3-derived,SSB0005,mainland,native,会,simplified,hui4,mainland,corpus,hui,4
SSB00050105_w000_lai2.wav,82,SSB00050105,aishell3-derived,SSB0005,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB03380365_w001_wei4.wav,90,SSB03380365,aishell3-derived,SSB0338,mainland,native,为,simplified,wei4,mainland,corpus,wei,4
SSB03380390_w001_wo3.wav,117,SSB03380390,aishell3-derived,SSB0338,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03380403_w000_jiu4.wav,125,SSB03380403,aishell3-derived,SSB0338,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB03380413_w002_dui4.wav,138,SSB03380413,aishell3-derived,SSB0338,mainland,native,对,simplified,dui4,mainland,corpus,dui,4
SSB03380414_w001_you3.wav,142,SSB03380414,aishell3-derived,SSB0338,mainland,native,有,simplified,you3,mainland,corpus,you,3
SSB03380414_w003_zai4.wav,144,SSB03380414,aishell3-derived,SSB0338,mainland,native,在,simplified,zai4,mainland,corpus,zai,4
SSB03380431_w000_ni2.wav,162,SSB03380431,aishell3-derived,SSB0338,mainland,native,你,simplified,ni2,mainland,corpus,ni,2
SSB03380433_w001_mai3.wav,168,SSB03380433,aishell3-derived,SSB0338,mainland,native,买,simplified,mai3,mainland,corpus,mai,3
SSB03380464_w004_zai4.wav,188,SSB03380464,aishell3-derived,SSB0338,mainland,native,在,simplified,zai4,mainland,corpus,zai,4
SSB00120081_w002_shi4.wav,195,SSB00120081,aishell3-derived,SSB0012,mainland,native,是,simplified,shi4,mainland,corpus,shi,4
SSB00120090_w000_xiang4.wav,201,SSB00120090,aishell3-derived,SSB0012,mainland,native,向,simplified,xiang4,mainland,corpus,xiang,4
SSB00120111_w000_wo3.wav,214,SSB00120111,aishell3-derived,SSB0012,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB00120125_w001_jiu4.wav,225,SSB00120125,aishell3-derived,SSB0012,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB00120141_w000_dao4.wav,236,SSB00120141,aishell3-derived,SSB0012,mainland,native,到,simplified,dao4,mainland,corpus,dao,4
SSB00120142_w001_jiu4.wav,242,SSB00120142,aishell3-derived,SSB0012,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB00120158_w002_jiu4.wav,255,SSB00120158,aishell3-derived,SSB0012,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB00120174_w000_wo3.wav,260,SSB00120174,aishell3-derived,SSB0012,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB00120180_w000_wo2.wav,266,SSB00120180,aishell3-derived,SSB0012,mainland,native,我,simplified,wo2,mainland,corpus,wo,2
SSB00050119_w003_rang4.wav,284,SSB00050119,aishell3-derived,SSB0005,mainland,native,让,simplified,rang4,mainland,corpus,rang,4
SSB00050152_w002_ye3.wav,324,SSB00050152,aishell3-derived,SSB0005,mainland,native,也,simplified,ye3,mainland,corpus,ye,3
SSB00050157_w001_zai4.wav,329,SSB00050157,aishell3-derived,SSB0005,mainland,native,在,simplified,zai4,mainland,corpus,zai,4
SSB00050184_w000_lai2.wav,344,SSB00050184,aishell3-derived,SSB0005,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB00050196_w000_er2.wav,352,SSB00050196,aishell3-derived,SSB0005,mainland,native,而,simplified,er2,mainland,corpus,er,2
SSB00050197_w000_zai4.wav,363,SSB00050197,aishell3-derived,SSB0005,mainland,native,在,simplified,zai4,mainland,corpus,zai,4
SSB00050197_w003_yao4.wav,366,SSB00050197,aishell3-derived,SSB0005,mainland,native,要,simplified,yao4,mainland,corpus,yao,4
SSB03390065_w000_wo3.wav,374,SSB03390065,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390066_w000_zai4.wav,377,SSB03390066,aishell3-derived,SSB0339,mainland,native,在,simplified,zai4,mainland,corpus,zai,4
SSB03390070_w000_wo3.wav,382,SSB03390070,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390070_w003_hen3.wav,385,SSB03390070,aishell3-derived,SSB0339,mainland,native,很,simplified,hen3,mainland,corpus,hen,3
SSB03390072_w000_bei4.wav,388,SSB03390072,aishell3-derived,SSB0339,mainland,native,被,simplified,bei4,mainland,corpus,bei,4
SSB03390091_w000_jiu4.wav,405,SSB03390091,aishell3-derived,SSB0339,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB03390093_w000_yong4.wav,414,SSB03390093,aishell3-derived,SSB0339,mainland,native,用,simplified,yong4,mainland,corpus,yong,4
SSB03390096_w000_lai2.wav,417,SSB03390096,aishell3-derived,SSB0339,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB03390131_w000_ye3.wav,469,SSB03390131,aishell3-derived,SSB0339,mainland,native,也,simplified,ye3,mainland,corpus,ye,3
SSB03390132_w000_wo3.wav,474,SSB03390132,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390132_w003_wo2.wav,477,SSB03390132,aishell3-derived,SSB0339,mainland,native,我,simplified,wo2,mainland,corpus,wo,2
SSB03390151_w001_hai2.wav,486,SSB03390151,aishell3-derived,SSB0339,mainland,native,还,simplified,hai2,mainland,corpus,hai,2
SSB03390174_w000_lai2.wav,500,SSB03390174,aishell3-derived,SSB0339,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB03390181_w001_ye3.wav,505,SSB03390181,aishell3-derived,SSB0339,mainland,native,也,simplified,ye3,mainland,corpus,ye,3
SSB03390186_w000_lai2.wav,512,SSB03390186,aishell3-derived,SSB0339,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB03390189_w000_cong2.wav,518,SSB03390189,aishell3-derived,SSB0339,mainland,native,从,simplified,cong2,mainland,corpus,cong,2
SSB03390190_w002_hao3.wav,523,SSB03390190,aishell3-derived,SSB0339,mainland,native,好,simplified,hao3,mainland,corpus,hao,3
SSB03390197_w003_dou1.wav,528,SSB03390197,aishell3-derived,SSB0339,mainland,native,都,simplified,dou1,mainland,corpus,dou,1
SSB03390199_w007_deng3.wav,538,SSB03390199,aishell3-derived,SSB0339,mainland,native,等,simplified,deng3,mainland,corpus,deng,3
SSB03390204_w002_he2.wav,547,SSB03390204,aishell3-derived,SSB0339,mainland,native,和,simplified,he2,mainland,corpus,he,2
SSB03390220_w000_zhe4.wav,568,SSB03390220,aishell3-derived,SSB0339,mainland,native,这,simplified,zhe4,mainland,corpus,zhe,4
SSB03390224_w000_zou3.wav,571,SSB03390224,aishell3-derived,SSB0339,mainland,native,走,simplified,zou3,mainland,corpus,zou,3
SSB03390225_w001_ni3.wav,575,SSB03390225,aishell3-derived,SSB0339,mainland,native,你,simplified,ni3,mainland,corpus,ni,3
SSB03390244_w002_he2.wav,587,SSB03390244,aishell3-derived,SSB0339,mainland,native,和,simplified,he2,mainland,corpus,he,2
SSB03390245_w000_you2.wav,591,SSB03390245,aishell3-derived,SSB0339,mainland,native,由,simplified,you2,mainland,corpus,you,2
SSB03390245_w003_an4.wav,594,SSB03390245,aishell3-derived,SSB0339,mainland,native,按,simplified,an4,mainland,corpus,an,4
SSB03390251_w001_zuo4.wav,600,SSB03390251,aishell3-derived,SSB0339,mainland,native,做,simplified,zuo4,mainland,corpus,zuo,4
SSB03390253_w000_wo3.wav,603,SSB03390253,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390263_w000_lai2.wav,615,SSB03390263,aishell3-derived,SSB0339,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB03390263_w003_qing2.wav,618,SSB03390263,aishell3-derived,SSB0339,mainland,native,情,simplified,qing2,mainland,corpus,qing,2
SSB03390269_w001_qing3.wav,622,SSB03390269,aishell3-derived,SSB0339,mainland,native,请,simplified,qing3,mainland,corpus,qing,3
SSB03390276_w000_ke3.wav,630,SSB03390276,aishell3-derived,SSB0339,mainland,native,可,simplified,ke3,mainland,corpus,ke,3
SSB03390278_w004_ke3.wav,639,SSB03390278,aishell3-derived,SSB0339,mainland,native,可,simplified,ke3,mainland,corpus,ke,3
SSB03390281_w002_jiu4.wav,648,SSB03390281,aishell3-derived,SSB0339,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB03390281_w004_neng2.wav,650,SSB03390281,aishell3-derived,SSB0339,mainland,native,能,simplified,neng2,mainland,corpus,neng,2
SSB03390304_w000_bie2.wav,666,SSB03390304,aishell3-derived,SSB0339,mainland,native,别,simplified,bie2,mainland,corpus,bie,2
SSB03390319_w001_you3.wav,681,SSB03390319,aishell3-derived,SSB0339,mainland,native,有,simplified,you3,mainland,corpus,you,3
SSB03390322_w000_na4.wav,691,SSB03390322,aishell3-derived,SSB0339,mainland,native,那,simplified,na4,mainland,corpus,na,4
SSB03390330_w000_ta1.wav,699,SSB03390330,aishell3-derived,SSB0339,mainland,native,他,simplified,ta1,mainland,corpus,ta,1
SSB03390332_w000_wo3.wav,703,SSB03390332,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390332_w001_geng4.wav,704,SSB03390332,aishell3-derived,SSB0339,mainland,native,更,simplified,geng4,mainland,corpus,geng,4
SSB03390333_w000_rang4.wav,707,SSB03390333,aishell3-derived,SSB0339,mainland,native,让,simplified,rang4,mainland,corpus,rang,4
SSB03390333_w004_shi4.wav,711,SSB03390333,aishell3-derived,SSB0339,mainland,native,是,simplified,shi4,mainland,corpus,shi,4
SSB03390342_w000_dan4.wav,716,SSB03390342,aishell3-derived,SSB0339,mainland,native,但,simplified,dan4,mainland,corpus,dan,4
SSB03390349_w000_zai4.wav,728,SSB03390349,aishell3-derived,SSB0339,mainland,native,在,simplified,zai4,mainland,corpus,zai,4
SSB03390363_w002_shi4.wav,750,SSB03390363,aishell3-derived,SSB0339,mainland,native,是,simplified,shi4,mainland,corpus,shi,4
SSB03390366_w000_dan4.wav,757,SSB03390366,aishell3-derived,SSB0339,mainland,native,但,simplified,dan4,mainland,corpus,dan,4
SSB03390366_w003_he2.wav,760,SSB03390366,aishell3-derived,SSB0339,mainland,native,和,simplified,he2,mainland,corpus,he,2
SSB03390368_w000_gai1.wav,764,SSB03390368,aishell3-derived,SSB0339,mainland,native,该,simplified,gai1,mainland,corpus,gai,1
SSB03390381_w001_dao4.wav,780,SSB03390381,aishell3-derived,SSB0339,mainland,native,到,simplified,dao4,mainland,corpus,dao,4
SSB03390389_w001_jiao4.wav,790,SSB03390389,aishell3-derived,SSB0339,mainland,native,叫,simplified,jiao4,mainland,corpus,jiao,4
SSB03390391_w000_lai2.wav,793,SSB03390391,aishell3-derived,SSB0339,mainland,native,来,simplified,lai2,mainland,corpus,lai,2
SSB03390405_w001_shi4.wav,821,SSB03390405,aishell3-derived,SSB0339,mainland,native,是,simplified,shi4,mainland,corpus,shi,4
SSB03390412_w000_wo3.wav,826,SSB03390412,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390415_w001_ting1.wav,830,SSB03390415,aishell3-derived,SSB0339,mainland,native,听,simplified,ting1,mainland,corpus,ting,1
SSB03390445_w000_wo3.wav,865,SSB03390445,aishell3-derived,SSB0339,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03390451_w002_hai2.wav,877,SSB03390451,aishell3-derived,SSB0339,mainland,native,还,simplified,hai2,mainland,corpus,hai,2
SSB03390460_w000_wo2.wav,886,SSB03390460,aishell3-derived,SSB0339,mainland,native,我,simplified,wo2,mainland,corpus,wo,2
SSB03390490_w000_ke3.wav,904,SSB03390490,aishell3-derived,SSB0339,mainland,native,可,simplified,ke3,mainland,corpus,ke,3
SSB03390508_w004_ke3.wav,919,SSB03390508,aishell3-derived,SSB0339,mainland,native,可,simplified,ke3,mainland,corpus,ke,3
SSB03410006_w000_zhe4.wav,926,SSB03410006,aishell3-derived,SSB0341,mainland,native,这,simplified,zhe4,mainland,corpus,zhe,4
SSB03410010_w003_jiu4.wav,933,SSB03410010,aishell3-derived,SSB0341,mainland,native,就,simplified,jiu4,mainland,corpus,jiu,4
SSB03410011_w001_wo3.wav,936,SSB03410011,aishell3-derived,SSB0341,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
SSB03410012_w001_neng2.wav,940,SSB03410012,aishell3-derived,SSB0341,mainland,native,能,simplified,neng2,mainland,corpus,neng,2
SSB03410015_w005_jian1.wav,949,SSB03410015,aishell3-derived,SSB0341,mainland,native,兼,simplified,jian1,mainland,corpus,jian,1
SSB03410024_w000_wo2.wav,959,SSB03410024,aishell3-derived,SSB0341,mainland,native,我,simplified,wo2,mainland,corpus,wo,2
SSB03410037_w000_you4.wav,978,SSB03410037,aishell3-derived,SSB0341,mainland,native,又,simplified,you4,mainland,corpus,you,4
SSB03410038_w000_ta1.wav,983,SSB03410038,aishell3-derived,SSB0341,mainland,native,他,simplified,ta1,mainland,corpus,ta,1
SSB03410038_w002_wo3.wav,985,SSB03410038,aishell3-derived,SSB0341,mainland,native,我,simplified,wo3,mainland,corpus,wo,3
