review_id,token_id,segment_path,utterance_path,speaker_id,utterance_id,token_index,word,expected_pinyin,expected_tone,start_seconds,end_seconds,duration_seconds,alignment_score,alignment_status,flag_reason,majority_tone_correct
R001,00200514_03,alignment_pilot_segments/00200514_03.wav,../../../private-data/ompal/wav/SPEAKER02005/00200514.wav,02005,00200514,3,名,míng,2,2.7309,2.9317,0.2008,0.8246,good,,0
R002,00200414_03,alignment_pilot_segments/00200414_03.wav,../../../private-data/ompal/wav/SPEAKER02004/00200414.wav,02004,00200414,3,名,míng,2,1.3067,1.5278,0.2211,0.9088,good,,0
R003,00203011_07,alignment_pilot_segments/00203011_07.wav,../../../private-data/ompal/wav/SPEAKER02030/00203011.wav,02030,00203011,7,字,zì,4,3.7500,3.9104,0.1604,0.9319,failed,no_voiced_nucleus,1
R004,00202114_03,alignment_pilot_segments/00202114_03.wav,../../../private-data/ompal/wav/SPEAKER02021/00202114.wav,02021,00202114,3,名,míng,2,1.7878,1.9686,0.1808,0.8465,good,,0
R005,00200120_03,alignment_pilot_segments/00200120_03.wav,../../../private-data/ompal/wav/SPEAKER02001/00200120.wav,02001,00200120,3,一,yī,1,2.7818,2.8219,0.0400,0.3377,failed,no_voiced_nucleus,1
R006,00200417_03,alignment_pilot_segments/00200417_03.wav,../../../private-data/ompal/wav/SPEAKER02004/00200417.wav,02004,00200417,3,房,fáng,2,1.5529,1.7950,0.2420,0.7638,good,,0
R007,00202626_02,alignment_pilot_segments/00202626_02.wav,../../../private-data/ompal/wav/SPEAKER02026/00202626.wav,02026,00202626,2,年,nián,2,5.2069,5.4072,0.2003,0.1617,questionable,low_alignment_score,0
R008,00200620_08,alignment_pilot_segments/00200620_08.wav,../../../private-data/ompal/wav/SPEAKER02006/00200620.wav,02006,00200620,8,兩,liǎng,3,4.1466,4.3269,0.1803,0.0975,questionable,low_alignment_score,0
R009,00202711_01,alignment_pilot_segments/00202711_01.wav,../../../private-data/ompal/wav/SPEAKER02027/00202711.wav,02027,00202711,1,一,yī,1,1.2629,1.3030,0.0401,0.0652,failed,no_voiced_nucleus,1
R010,00200614_00,alignment_pilot_segments/00200614_00.wav,../../../private-data/ompal/wav/SPEAKER02006/00200614.wav,02006,00200614,0,小,xiǎo,3,0.6033,0.8647,0.2614,0.9935,good,,0
R011,00200317_03,alignment_pilot_segments/00200317_03.wav,../../../private-data/ompal/wav/SPEAKER02003/00200317.wav,02003,00200317,3,房,fáng,2,1.9741,2.2158,0.2417,0.8282,good,,0
R012,00200920_08,alignment_pilot_segments/00200920_08.wav,../../../private-data/ompal/wav/SPEAKER02009/00200920.wav,02009,00200920,8,兩,liǎng,3,2.8257,3.0461,0.2204,0.1056,questionable,low_alignment_score,1
R013,00201420_08,alignment_pilot_segments/00201420_08.wav,../../../private-data/ompal/wav/SPEAKER02014/00201420.wav,02014,00201420,8,兩,liǎng,3,3.9284,4.1489,0.2205,0.0473,questionable,low_alignment_score,0
R014,00203326_10,alignment_pilot_segments/00203326_10.wav,../../../private-data/ompal/wav/SPEAKER02033/00203326.wav,02033,00203326,10,去,qù,4,5.1770,5.2974,0.1204,0.4989,good,,1
R015,00201020_08,alignment_pilot_segments/00201020_08.wav,../../../private-data/ompal/wav/SPEAKER02010/00201020.wav,02010,00201020,8,兩,liǎng,3,5.5047,5.7249,0.2202,0.0367,questionable,low_alignment_score,1
R016,00201117_01,alignment_pilot_segments/00201117_01.wav,../../../private-data/ompal/wav/SPEAKER02011/00201117.wav,02011,00201117,1,四,sì,4,0.9660,1.1270,0.1610,0.5212,good,,0
R017,00203611_07,alignment_pilot_segments/00203611_07.wav,../../../private-data/ompal/wav/SPEAKER02036/00203611.wav,02036,00203611,7,字,zì,4,5.1278,5.3081,0.1803,0.9389,good,,1
R018,00201414_06,alignment_pilot_segments/00201414_06.wav,../../../private-data/ompal/wav/SPEAKER02014/00201414.wav,02014,00201414,6,是,shì,4,1.8725,2.0134,0.1409,0.9926,questionable,weak_voicing,1
R019,00202020_03,alignment_pilot_segments/00202020_03.wav,../../../private-data/ompal/wav/SPEAKER02020/00202020.wav,02020,00202020,3,一,yī,1,1.2212,1.2813,0.0601,0.3936,questionable,low_alignment_score,0
R020,00203126_10,alignment_pilot_segments/00203126_10.wav,../../../private-data/ompal/wav/SPEAKER02031/00203126.wav,02031,00203126,10,去,qù,4,4.2179,4.3385,0.1205,0.5172,questionable,weak_voicing,1
R021,00201114_08,alignment_pilot_segments/00201114_08.wav,../../../private-data/ompal/wav/SPEAKER02011/00201114.wav,02011,00201114,8,花,huā,1,5.2980,5.4786,0.1806,0.7904,failed,no_voiced_nucleus,1
R022,00200417_01,alignment_pilot_segments/00200417_01.wav,../../../private-data/ompal/wav/SPEAKER02004/00200417.wav,02004,00200417,1,四,sì,4,0.9882,1.1294,0.1412,0.5026,good,,1
R023,00202729_08,alignment_pilot_segments/00202729_08.wav,../../../private-data/ompal/wav/SPEAKER02027/00202729.wav,02027,00202729,8,短,duǎn,3,6.4421,6.5221,0.0800,0.0187,failed,no_voiced_nucleus,0
R024,00204126_10,alignment_pilot_segments/00204126_10.wav,../../../private-data/ompal/wav/SPEAKER02041/00204126.wav,02041,00204126,10,去,qù,4,5.3378,5.5585,0.2207,0.4987,failed,no_voiced_nucleus,1
R025,00200520_08,alignment_pilot_segments/00200520_08.wav,../../../private-data/ompal/wav/SPEAKER02005/00200520.wav,02005,00200520,8,兩,liǎng,3,3.9085,4.0889,0.1804,0.8937,good,,0
R026,00203411_01,alignment_pilot_segments/00203411_01.wav,../../../private-data/ompal/wav/SPEAKER02034/00203411.wav,02034,00203411,1,一,yī,1,0.2212,0.2815,0.0603,0.0009,questionable,low_alignment_score,1
R027,00202411_06,alignment_pilot_segments/00202411_06.wav,../../../private-data/ompal/wav/SPEAKER02024/00202411.wav,02024,00202411,6,福,fú,2,3.5692,3.7296,0.1604,0.8764,failed,no_voiced_nucleus,1
