"question_id","word_id","target_word","pinyin","pos","simple_english_meaning","round","question_type","answer_format","prompt","options_json","correct_answer","accepted_answers_json","explanation"
"L5_3_001_R1","L5_3_001","床","chuáng","N","bed","1","basic_meaning_mcq","single_choice","In 「哥哥喜歡在床上看書」, what does 「床」 mean?","[""bed"",""furniture"",""television"",""door""]","bed","[""bed""]","「床」 means bed."
"L5_3_001_R3","L5_3_001","床","chuáng","N","bed","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 哥哥喜歡在___上看書。","[""床"",""家具"",""電視機"",""門""]","床","[""床""]","哥哥喜歡在床上看書。"
"L5_3_001_R2","L5_3_001","床","chuáng","N","bed","2","character_to_pinyin_typing","free_text","Type the pinyin for 床.","[]","chuáng","[""chuáng""]","哥哥喜歡在床上看書。"
"L5_3_002_R1","L5_3_002","家具","jiājù","N","furniture","1","basic_meaning_mcq","single_choice","In 「這個新房子沒有很多家具」, what does 「家具」 mean?","[""furniture"",""window"",""cat"",""sun""]","furniture","[""furniture""]","「家具」 means furniture."
"L5_3_002_R3","L5_3_002","家具","jiājù","N","furniture","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 這個新房子沒有很多___。","[""家具"",""床"",""貓"",""電視機""]","家具","[""家具""]","這個新房子沒有很多家具。"
"L5_3_002_R2","L5_3_002","家具","jiājù","N","furniture","2","character_to_pinyin_typing","free_text","Type the pinyin for 家具.","[]","jiājù","[""jiājù""]","這個新房子沒有很多家具。"
"L5_3_003_R1","L5_3_003","電視機","diànshìjī","N","TV (television)","1","basic_meaning_mcq","single_choice","In 「我想買一台電視機」, what does 「電視機」 mean?","[""TV (television)"",""window"",""bed"",""door""]","TV (television)","[""TV (television)""]","「電視機」 means TV (television)."
"L5_3_003_R3","L5_3_003","電視機","diànshìjī","N","TV (television)","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我想買一台___。","[""電視機"",""窗戶"",""床"",""門""]","電視機","[""電視機"",""電視""]","我想買一台電視機。 Both 電視 (diànshì) and 電視機 (diànshìjī) mean TV."
"L5_3_003_R2","L5_3_003","電視機","diànshìjī","N","TV (television)","2","character_to_pinyin_typing","free_text","Type the pinyin for 電視機.","[]","diànshìjī","[""diànshìjī""]","我想買一台電視機。 Both 電視 (diànshì) and 電視機 (diànshìjī) mean TV."
"L5_3_004_R1","L5_3_004","窗戶","chuānghù","N","window","1","basic_meaning_mcq","single_choice","In 「窗戶前面有很多花，很漂亮」, what does 「窗戶」 mean?","[""window"",""door"",""sofa"",""bed""]","window","[""window""]","「窗戶」 means window."
"L5_3_004_R3","L5_3_004","窗戶","chuānghù","N","window","3","context_cloze_mcq","single_choice","Complete the textbook sentence: ___前面有很多花，很漂亮。","[""窗戶"",""門"",""床"",""桌子""]","窗戶","[""窗戶""]","窗戶前面有很多花，很漂亮。"
