story_id,story_title,published,lesson_number,tier,frame_index,word_index,word,question_type,prompt,correct_answer,translation,pinyin,part_of_speech,options_from_source,context_sentence,source,validation_status,validation_errors,lesson_sub_order
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,translation,友美,Youmei (person’s name),Youmei (person’s name),yǒu měi,N,"[""to want / need"", ""weekend"", ""this weekend""]",友美，妳這個週末要做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,reverse,Youmei (person’s name),友美,Youmei (person’s name),yǒu měi,N,"[""週末"", ""這個週末"", ""要"", ""友美""]",友美，妳這個週末要做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,listening,🔊 Listen and choose the word you hear.,友美,Youmei (person’s name),yǒu měi,N,"[""友美"", ""這個週末"", ""要"", ""週末""]",,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,pinyin,Choose the correct pinyin for 「友美」.,yǒu měi,Youmei (person’s name),yǒu měi,N,"[""yǒu měi"", ""yǒu mèi"", ""yǒu mēi"", ""yǒu méi""]",友美，妳這個週末要做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,cloze,Complete the sentence.,友美,Youmei (person’s name),yǒu měi,N,"[""下午茶"", ""冰淇淋"", ""巧克力""]",____，妳這個週末要做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,easy,0,0,友美,pos,What is the part of speech of 「友美」?,N,Youmei (person’s name),yǒu měi,N,"[""Adv"", ""Adj"", ""Loc""]",友美，妳這個週末要做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,translation,Choose the best English meaning of 「友美」.,Youmei (person’s name),Youmei (person’s name),yǒu měi,N,"[""Saturday"", ""home"", ""afternoon tea""]",友美，週末快到了，妳這個週末想做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,reverse,Choose the Chinese word for “Youmei (person’s name)”.,友美,Youmei (person’s name),yǒu měi,N,"[""下午茶"", ""家"", ""友美"", ""星期六""]",友美，週末快到了，妳這個週末想做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,listening,🔊 Listen and choose the word you hear.,友美,Youmei (person’s name),yǒu měi,N,"[""下午茶"", ""友美"", ""星期六"", ""家""]",,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,pinyin,Choose the correct pinyin and tone pattern for 「友美」.,yǒu měi,Youmei (person’s name),yǒu měi,N,"[""yǒu mēi"", ""yǒu méi"", ""yǒu mèi"", ""yǒu měi""]",友美，週末快到了，妳這個週末想做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,cloze,Choose the word that best completes the sentence.,友美,Youmei (person’s name),yǒu měi,N,"[""週末"", ""星期六"", ""家""]",____，週末快到了，妳這個週末想做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,medium,0,0,友美,pos,"In this sentence, what part of speech is 「友美」?",N,Youmei (person’s name),yǒu měi,N,"[""Loc"", ""Adj"", ""MW""]",友美，週末快到了，妳這個週末想做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,translation,"In 「友美，這個星期快結束了，妳這個週末打算做什麼？」, what does 「友美」 mean?",Youmei (person’s name),Youmei (person’s name),yǒu měi,N,"[""coworker"", ""older brother"", ""classmate""]",友美，這個星期快結束了，妳這個週末打算做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,reverse,Which Chinese word best matches “Youmei (person’s name)” in this lesson context?,友美,Youmei (person’s name),yǒu měi,N,"[""同事"", ""同學"", ""友美"", ""哥哥""]",友美，這個星期快結束了，妳這個週末打算做什麼？,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,listening,🔊 Listen and choose the word you hear.,友美,Youmei (person’s name),yǒu měi,N,"[""同事"", ""哥哥"", ""友美"", ""同學""]",,verified_v3_book_locked,ok,,1
custom-story-1785137028726,我們去喝下午茶,True,5,hard,0,0,友美,pinyin,Which pinyin exactly matches the lexical tones of 「友美」?,yǒu měi,Youmei (person’s name),yǒu měi,N,"[""yǒu měi"", ""yǒu mēi"", ""yǒu méi"", ""yǒu mèi""]",友美，這個星期快結束了，妳這個週末打算做什麼？,verified_v3_book_locked,ok,,1
