token_id,split,speaker_id,utterance_id,token_index,lexical_target,predicted_tone,error_group,previous_lexical_tone,following_lexical_tone,context_status,sandhi_context,sandhi_interpretation,surface_label_status,surface_label_evidence,boundary_flag_status,boundary_flag_evidence,pitch_flag_status,pitch_flag_evidence,duration_seconds,voiced_proportion
00200214_00,train,02002,00200214,0,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200220_00,train,02002,00200220,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200220_05,train,02002,00200220,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200220_08,train,02002,00200220,8,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200314_00,train,02003,00200314,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200320_00,train,02003,00200320,0,T3,T1,T3_to_T1,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200320_05,train,02003,00200320,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200320_08,train,02003,00200320,8,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200520_00,train,02005,00200520,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200620_00,train,02006,00200620,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200714_00,train,02007,00200714,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200720_00,train,02007,00200720,0,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200720_05,train,02007,00200720,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200720_08,train,02007,00200720,8,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200914_00,train,02009,00200914,0,T3,T1,T3_to_T1,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200920_00,train,02009,00200920,0,T3,T1,T3_to_T1,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200920_05,train,02009,00200920,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00200920_08,train,02009,00200920,8,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201014_00,train,02010,00201014,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201020_00,train,02010,00201020,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201020_05,train,02010,00201020,5,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
