token_id,speaker_id,utterance_id,token_position,character,expected_pinyin,expected_tone,syllable_base,moe_verified,moe_verification_status,audio_annotation_matched,alignment_eligible,eligibility_exclusion_reason_primary,eligibility_exclusion_reasons_all,n_rated_tokens_in_utterance,n_undetermined_in_utterance,speech_type,ompal_label,source_audio_path,annotation_source,dataset_version,pipeline_version
00100101_00,01001,00100101,0,他,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100101.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100101_02,01001,00100101,2,都,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100101.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100101_03,01001,00100101,3,很,hěn,3,hen,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100101.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100101_04,01001,00100101,4,忙,máng,2,mang,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100101.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100102_00,01001,00100102,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100102.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100102_01,01001,00100102,1,家,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100102.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100102_03,01001,00100102,3,四,sì,4,si,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100102.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100102_04,01001,00100102,4,口,kǒu,3,kou,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100102.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100102_05,01001,00100102,5,人,rén,2,ren,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100102.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_00,01001,00100103,0,爸,bà,4,ba,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_01,01001,00100103,1,爸,bà,4,ba,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_02,01001,00100103,2,媽,mā,1,ma,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_03,01001,00100103,3,媽,mā,1,ma,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_04,01001,00100103,4,哥,gē,1,ge,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_05,01001,00100103,5,哥,gē,1,ge,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100103_07,01001,00100103,7,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100103.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100104_00,01001,00100104,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100104_01,01001,00100104,1,家,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100104_02,01001,00100104,2,還,,2,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
