trial_uid,recorded_at_utc,run,repetition,item_id,traditional_character,expected_pinyin,expected_tone,audio_path,capture_sample_rate,pcm_spec_version,source_sample_rate,token_duration_ms,trajectory_available,raw_score_internal,system_decision,decision_reason,failure_code,latency_ms,frontend_message,technical_retry,challenge_type,intended_manipulation,researcher_notes,scientific_version,deployment_version,audio_contract_version,fitted_model_sha256,PILOT_ONLY,RESEARCHER_SELF_TEST
SP0001,2026-08-09T10:14:45+00:00,T_technical,1,I01,貓,māo,T1,audio/PILOT_ONLY_SP0001_T_technical_I01_r1.wav,48000,STUDY_PCM16K_v1,16000,200.0,YES,0.462485,RETRY,tone_not_enabled,ok,4.48,I'm not confident enough to confirm this attempt. Please try once more.,NO,,,harness T1 gate probe,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0002,2026-08-09T10:14:45+00:00,T_technical,1,I01,貓,māo,T1,audio/PILOT_ONLY_SP0002_T_technical_I01_r1.wav,48000,STUDY_PCM16K_v1,16000,250.0,YES,0.462493,RETRY,tone_not_enabled,ok,3.52,I'm not confident enough to confirm this attempt. Please try once more.,NO,,,harness T1 gate probe,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0003,2026-08-09T10:14:45+00:00,T_technical,1,I01,貓,māo,T1,audio/PILOT_ONLY_SP0003_T_technical_I01_r1.wav,48000,STUDY_PCM16K_v1,16000,300.0,YES,0.462518,RETRY,tone_not_enabled,ok,10.26,I'm not confident enough to confirm this attempt. Please try once more.,NO,,,harness T1 gate probe,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0004,2026-08-09T10:14:45+00:00,T_technical,1,I01,貓,māo,T1,audio/PILOT_ONLY_SP0004_T_technical_I01_r1.wav,48000,STUDY_PCM16K_v1,16000,160.9,YES,0.418525,RETRY,tone_not_enabled,ok,2.94,I'm not confident enough to confirm this attempt. Please try once more.,NO,,,harness: T1 gate decisive probe,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0005,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,T2,audio/PILOT_ONLY_SP0005_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,16000,250.0,NO,,RETRY,trajectory_unavailable,insufficient_voiced_frames,1.53,I'm not confident enough to confirm this attempt. Please try once more.,NO,,,harness: silence,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0006,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,T2,audio/PILOT_ONLY_SP0006_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,,,NO,,RETRY,LibsndfileError,unreadable_audio,0.27,The recording could not be processed. Please record again.,YES,,,harness: empty recording,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0007,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,T2,audio/PILOT_ONLY_SP0007_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,16000,20.0,NO,,RETRY,20 ms outside the 60-982 ms training envelope,token_duration_out_of_contract,1.29,The recording could not be processed. Please record again.,YES,,,harness: very short recording,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0008,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,T2,audio/PILOT_ONLY_SP0008_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,16000,50.0,NO,,RETRY,50 ms outside the 60-982 ms training envelope,token_duration_out_of_contract,1.64,The recording could not be processed. Please record again.,YES,,,harness: stopped too early,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0009,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,T9,audio/PILOT_ONLY_SP0009_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,,,NO,,RETRY,"expected_tone 'T9' is not one of ['1', '2', '3', '4', 'T1', 'T2', 'T3', 'T4']",invalid_expected_tone,0.03,The recording could not be processed. Please record again.,YES,,,harness: invalid expected tone,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0010,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,,audio/PILOT_ONLY_SP0010_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,,,NO,,RETRY,"expected_tone '' is not one of ['1', '2', '3', '4', 'T1', 'T2', 'T3', 'T4']",invalid_expected_tone,0.04,The recording could not be processed. Please record again.,YES,,,harness: missing expected tone,OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
SP0011,2026-08-09T10:14:46+00:00,T_technical,1,I05,人,rén,T2,audio/PILOT_ONLY_SP0011_T_technical_I05_r1.wav,48000,STUDY_PCM16K_v1,,,NO,,RETRY,LibsndfileError,unreadable_audio,0.28,The recording could not be processed. Please record again.,YES,,,harness: microphone permission denied (empty capture),OMPAL_R2_PASS_v1,OMPAL_R2_PASS_v1.1,OMPAL_AUDIO_CONTRACT_v1,0dcee1d87c69c5b2586fa9612b142a6ac5ef48cd37cd06dfac984a5d463c586c,YES,YES
