trial_id,token_id,is_repeat,alignment_status,flag_reason,prior_judgment,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,presentation_padding_ms,duration_seconds
B001,00200414_00,0,good,,,1,小,xiǎo,3,02004,00200414,40,0.3212
B002,00203429_05,0,questionable,weak_voicing,,1,發,fā,1,02034,00203429,40,0.1802
B003,00202626_03,0,failed,no_voiced_nucleus,,0,夜,yè,4,02026,00202626,40,0.1801
B004,00204011_06,1,failed,no_voiced_nucleus,,0,福,fú,2,02040,00204011,40,0.2610
B005,00200514_01,0,good,,,0,貓,māo,1,02005,00200514,40,0.4013
B006,00203511_08,1,good,,,1,表,biǎo,3,02035,00203511,40,0.3809
B007,00202729_08,0,failed,no_voiced_nucleus,,0,短,duǎn,3,02027,00202729,40,0.1600
B008,00203229_03,0,questionable,weak_voicing,,1,手,shǒu,3,02032,00203229,40,0.2205
B009,00202411_10,0,questionable,weak_voicing,,1,福,fú,2,02024,00202411,40,0.2003
B010,00201020_08,1,questionable,low_alignment_score,,1,兩,liǎng,3,02010,00201020,40,0.3002
B011,00202020_03,1,questionable,low_alignment_score,,0,一,yī,1,02020,00202020,40,0.1401
B012,00203711_10,1,questionable,weak_voicing,,1,福,fú,2,02037,00203711,40,0.2006
B013,00204126_10,0,failed,no_voiced_nucleus,,1,去,qù,4,02041,00204126,40,0.3007
B014,00200620_15,0,failed,no_voiced_nucleus,,0,床,chuáng,2,02006,00200620,40,0.4205
B015,00203126_00,1,good,,QUESTIONABLE,1,就,jiù,4,02031,00203126,40,0.2206
B016,00200714_08,0,failed,no_voiced_nucleus,,1,花,huā,1,02007,00200714,40,0.2004
B017,00202729_07,0,questionable,low_alignment_score|weak_voicing,,1,條,tiáo,2,02027,00202729,40,0.4001
B018,00202626_02,0,questionable,low_alignment_score,,0,年,nián,2,02026,00202626,40,0.2803
B019,00200920_08,0,questionable,low_alignment_score,,1,兩,liǎng,3,02009,00200920,40,0.3004
B020,00203011_07,1,failed,no_voiced_nucleus,,1,字,zì,4,02030,00203011,40,0.2404
B021,00204426_10,0,failed,no_voiced_nucleus,,1,去,qù,4,02044,00204426,40,0.2204
B022,00204011_06,0,failed,no_voiced_nucleus,,0,福,fú,2,02040,00204011,40,0.2610
B023,00202526_09,0,good,,,1,裡,lǐ,3,02025,00202526,40,0.2006
B024,00204126_08,0,good,,,0,館,guǎn,3,02041,00204126,40,0.2807
B025,00200614_08,0,failed,no_voiced_nucleus,,1,花,huā,1,02006,00200614,40,0.2006
B026,00202626_03,1,failed,no_voiced_nucleus,,0,夜,yè,4,02026,00202626,40,0.1801
B027,00203711_01,0,failed,no_voiced_nucleus,,1,一,yī,1,02037,00203711,40,0.1202
B028,00203829_10,0,questionable,low_alignment_score,,1,就,jiù,4,02038,00203829,40,0.2203
B029,00201820_06,0,good,,,0,桌,zhuō,1,02018,00201820,40,0.2602
B030,00203220_00,0,failed,no_voiced_nucleus,,1,互,hù,4,02032,00203220,40,0.1606
B031,00202626_07,0,failed,no_voiced_nucleus,,0,餐,cān,1,02026,00202626,40,0.3202
B032,00203711_10,0,questionable,weak_voicing,,1,福,fú,2,02037,00203711,40,0.2006
B033,00200120_03,0,failed,no_voiced_nucleus,,1,一,yī,1,02001,00200120,40,0.1201
B034,00202328_01,0,good,,,1,連,lián,2,02023,00202328,40,0.3409
B035,00200920_05,0,questionable,weak_voicing,,1,小,xiǎo,3,02009,00200920,40,0.2602
B036,00202909_11,0,good,,,1,淨,jìng,4,02029,00202909,40,0.2603
B037,00201117_03,0,good,,GOOD,1,房,fáng,2,02011,00201117,40,0.3819
B038,00203929_04,0,questionable,weak_voicing,,0,機,jī,1,02039,00203929,40,0.2603
B039,00200514_01,1,good,,,0,貓,māo,1,02005,00200514,40,0.4013
B040,00201020_08,0,questionable,low_alignment_score,,1,兩,liǎng,3,02010,00201020,40,0.3002
B041,00203011_07,0,failed,no_voiced_nucleus,,1,字,zì,4,02030,00203011,40,0.2404
B042,00203611_11,0,good,,,1,到,dào,4,02036,00203611,40,0.3204
B043,00201420_01,0,good,,,0,邊,biān,1,02014,00201420,40,0.2804
B044,00203511_08,0,good,,,1,表,biǎo,3,02035,00203511,40,0.3809
B045,00203126_00,0,good,,QUESTIONABLE,1,就,jiù,4,02031,00203126,40,0.2206
B046,00200314_03,0,good,,GOOD,1,名,míng,2,02003,00200314,40,0.3007
B047,00201520_15,0,good,,,1,床,chuáng,2,02015,00201520,40,0.4802
B048,00203220_00,1,failed,no_voiced_nucleus,,1,互,hù,4,02032,00203220,40,0.1606
B049,00202020_03,0,questionable,low_alignment_score,,0,一,yī,1,02020,00202020,40,0.1401
B050,00204311_07,0,questionable,weak_voicing,,0,字,zì,4,02043,00204311,40,0.2006
